key|title|type|year|pdf_count|pdf_filenames
U68CQ97Y|Generically log smooth families via generators and relations|preprint|2026|1|Felten - 2026 - Generically log smooth families via generators and relations.pdf
QWDFJHVD|Reducibility of the Compactified Jacobian|journalArticle|1981|1|Kleiman and Kleppe - 1981 - Reducibility of the Compactified Jacobian.pdf
55IVWI5G|Subadjunction of Log Canonical Divisors. II|journalArticle|1998|1|[Kawamata 1998] Subadjunction of log canonical divisors. II.pdf
YV8TYRWJ|Inversion of Adjunction on Log Canonicity|journalArticle|2007|1|[Kawakita 2007] Inversion of adjunction on log canonicity.pdf
ZQ7H7UNH|A Simple Proof for the Existence of Zariski Decompositions on Surfaces|journalArticle|2009|1|[Bauer 2009] A simple proof for the existence of Zariski decompositions on surfaces.pdf
8PEP64SW|The Period Lattice for Enriques Surfaces|preprint|1999|1|[Allcock 1999] The Period Lattice for Enriques Surfaces.pdf
UB24MGJR|Moduli of Products of Curves|journalArticle|2005|1|[van Opstall 2005] Moduli of products of curves.pdf
MX2X4E5B|The Cone Theorem|journalArticle|1984|1|Kollár - 1984 - The Cone Theorem.pdf
JXVT56V4|On Automorphisms of Nodal Enriques Surfaces|journalArticle|1985|1|[Cossec 1985] On automorphisms of nodal Enriques surfaces.pdf
GBLGVK87|Klassenzahlen Indefiniter Quadratischer Formen in Drei Oder Mehr Veränderlichen|journalArticle|1956|1|[Kneser 1956] Klassenzahlen indefiniter quadratischer Formen in drei oder mehr Veränderlichen.pdf
ZY7M82ST|Sur La Sphère Vide|journalArticle|1934|1|Delaunay - 1934 - Sur La Sphère Vide.pdf
LFUFWGUN|La Variété Des Droites D'une Hypersurface Cubique De Dimension 4|journalArticle|1985|1|Beauville and Donagi - 1985 - La Variété Des Droites D'une Hypersurface Cubique De Dimension 4.pdf
5FLPMFBB|Variétés Abéliennes Et Géométrie Rigide|journalArticle|1970|1|Raynaud - 1970 - Variétés Abéliennes Et Géométrie Rigide.pdf
GP2BBA8T|Sur Les Groupes Lineaires Algebriques Dont L'algebre Des Invariants Est Libre|journalArticle|1976|1|Vinberg et al. - 1976 - Sur Les Groupes Lineaires Algebriques Dont L'algebre Des Invariants Est Libre.pdf
QEPWY2QN|The Groups O_{18; 1}(Z) and O_{19;1}(Z)|journalArticle|1978|1|Vinberg and Kaplinskaja - 1978 - The Groups O_{18, 1}(Z) and O_{19,1}(Z).pdf
7BP3G694|Arthur Byron Coble; 1878--1966|preprint|2023|1|[Kollár 2023] Arthur Byron Coble, 1878--1966.pdf
RQ2EG4F7|On the Periods of Enriques Surfaces; II|journalArticle|1977|1|[Horikawa 1977] On the periods of enriques surfaces, II.pdf
INJMTBQZ|On quotient surfaces of  P^2  by a finite group|journalArticle|1988|1|Alexeev and Kolpakov-Miroshnichenko - 1988 - On quotient surfaces of  P^2  by a finite group.pdf
F4GPGSXI|Coble on Algebraic Geometry and Theta Functions|journalArticle|1930|1|[Zariski 1930] Coble on Algebraic Geometry and Theta Functions.pdf
PHFMZ99E|Groupes Et Algèbres De Lie|book|2007|1|[Maucourant 2007] Groupes et algèbres de Lie.pdf
WQ9IRLA3|Lectures on K3 Surfaces|book|2016|1|[Huybrechts 2016] Lectures on K3 Surfaces.pdf
7MSC2F9H|Motivic Integration and Its Interactions with Model Theory and Non-Archimedean G|book|2011|1|[Cluckers 2011] Motivic integration and its interactions with model theory and non-Archimedean geometry. Volume 1 - edited by Raf Cluckers, Johannes Nicaise, Julien Sebag. [electronic resource].pdf
CHYQZDIJ|Pluricanonical Maps of Stable Log Surfaces|journalArticle|2014|1|[Liu 2014] Pluricanonical maps of stable log surfaces.pdf
